"year","quarter","male","female","total_both_sexes","timepoint_yyyymm","rolling_minimum","quarterly_rate_minus_rolling_minimum","sahm_rule_triggered"
"1986","Q1",3.7,5,4.2,"198603",NA,NA,FALSE
"1986","Q2",3.6,4.9,4.1,"198606",NA,NA,FALSE
"1986","Q3",3.6,4.9,4.2,"198609",NA,NA,FALSE
"1986","Q4",3.8,4.8,4.3,"198612",4.1,0.2,FALSE
"1987","Q1",3.8,4.5,4.1,"198703",4.1,0,FALSE
"1987","Q2",4,4.5,4.2,"198706",4.1,0.100000000000001,FALSE
"1987","Q3",4.1,4.3,4.2,"198709",4.1,0.100000000000001,FALSE
"1987","Q4",4.4,4.4,4.4,"198712",4.1,0.300000000000001,FALSE
"1988","Q1",5,4.9,5,"198803",4.2,0.8,TRUE
"1988","Q2",5.4,5.5,5.5,"198806",4.2,1.3,TRUE
"1988","Q3",6.3,6.5,6.4,"198809",4.4,2,TRUE
"1988","Q4",6.7,5.8,6.3,"198812",5,1.3,TRUE
"1989","Q1",7.3,6.8,7.1,"198903",5.5,1.6,TRUE
"1989","Q2",7.7,7.1,7.5,"198906",6.3,1.2,TRUE
"1989","Q3",7.6,7.1,7.4,"198909",6.3,1.1,TRUE
"1989","Q4",7.2,7.4,7.3,"198912",7.1,0.2,FALSE
"1990","Q1",7.4,6.9,7.2,"199003",7.2,0,FALSE
"1990","Q2",8.3,6.8,7.7,"199006",7.2,0.5,TRUE
"1990","Q3",8.4,7.7,8.1,"199009",7.2,0.899999999999999,TRUE
"1990","Q4",9.4,8.4,8.9,"199012",7.2,1.7,TRUE
"1991","Q1",10.2,9.3,9.8,"199103",7.7,2.1,TRUE
"1991","Q2",10.9,9.9,10.5,"199106",8.1,2.4,TRUE
"1991","Q3",11.9,10.3,11.2,"199109",8.9,2.3,TRUE
"1991","Q4",12.1,9.7,11,"199112",9.8,1.2,TRUE
"1992","Q1",11.7,10.1,11,"199203",10.5,0.5,TRUE
"1992","Q2",11.3,9.4,10.5,"199206",10.5,0,FALSE
"1992","Q3",11.4,9.6,10.6,"199209",10.5,0.0999999999999996,FALSE
"1992","Q4",11.2,9.9,10.6,"199212",10.5,0.0999999999999996,FALSE
"1993","Q1",10.9,9,10.1,"199303",10.1,0,FALSE
"1993","Q2",10.7,9.5,10.2,"199306",10.1,0.0999999999999996,FALSE
"1993","Q3",10.1,8.8,9.5,"199309",9.5,0,FALSE
"1993","Q4",10.1,8.6,9.4,"199312",9.4,0,FALSE
"1994","Q1",9.7,8.8,9.3,"199403",9.3,0,FALSE
"1994","Q2",9.1,7.8,8.5,"199406",8.5,0,FALSE
"1994","Q3",8.4,7.4,8,"199409",8,0,FALSE
"1994","Q4",7.9,7.2,7.6,"199412",7.6,0,FALSE
"1995","Q1",7,6.6,6.8,"199503",6.8,0,FALSE
"1995","Q2",6.3,6.5,6.4,"199506",6.4,0,FALSE
"1995","Q3",6.3,6.2,6.2,"199509",6.2,0,FALSE
"1995","Q4",6.3,6.6,6.4,"199512",6.2,0.2,FALSE
"1996","Q1",6.4,6.3,6.4,"199603",6.2,0.2,FALSE
"1996","Q2",6,6.3,6.2,"199606",6.2,0,FALSE
"1996","Q3",6.3,6.6,6.5,"199609",6.2,0.3,FALSE
"1996","Q4",6.5,5.9,6.2,"199612",6.2,0,FALSE
"1997","Q1",6.5,6.9,6.7,"199703",6.2,0.5,TRUE
"1997","Q2",6.9,6.6,6.8,"199706",6.2,0.6,TRUE
"1997","Q3",6.9,7.1,7,"199709",6.2,0.8,TRUE
"1997","Q4",7.1,6.8,7,"199712",6.7,0.3,FALSE
"1998","Q1",7.4,7.4,7.4,"199803",6.8,0.600000000000001,TRUE
"1998","Q2",7.9,7.8,7.9,"199806",7,0.9,TRUE
"1998","Q3",8,7.3,7.7,"199809",7,0.7,TRUE
"1998","Q4",8,7.9,7.9,"199812",7.4,0.5,TRUE
"1999","Q1",8,6.9,7.5,"199903",7.5,0,FALSE
"1999","Q2",7.6,6.9,7.3,"199906",7.3,0,FALSE
